order_id,customer_id,product_id,order_date,quantity
1,66,38,2023-08-09 08:39:23.971834,4
2,10,29,2023-09-08 08:39:23.971834,4
3,58,9,2023-07-29 08:39:23.971834,3
4,33,44,2023-09-13 08:39:23.971834,4
5,32,47,2023-07-24 08:39:23.971834,2
6,75,1,2023-09-07 08:39:23.971834,4
7,24,41,2023-08-13 08:39:23.971834,1
8,36,39,2023-08-19 08:39:23.971834,2
9,76,26,2023-07-22 08:39:23.971834,4
10,56,11,2023-08-08 08:39:23.971834,3
11,29,35,2023-07-23 08:39:23.971834,4
12,35,24,2023-08-02 08:39:23.971834,1
13,1,33,2023-07-31 08:39:23.971834,1
14,1,20,2023-08-02 08:39:23.971834,1
15,37,27,2023-08-25 08:39:23.971834,1
16,54,15,2023-08-06 08:39:23.971834,4
17,6,33,2023-08-15 08:39:23.971834,1
18,39,7,2023-07-26 08:39:23.971834,1
19,18,34,2023-09-05 08:39:23.971834,3
20,80,45,2023-08-23 08:39:23.971834,4
21,5,46,2023-08-10 08:39:23.971834,1
22,43,42,2023-08-09 08:39:23.971834,1
23,59,5,2023-08-31 08:39:23.971834,3
24,32,30,2023-09-16 08:39:23.971834,1
25,2,28,2023-09-15 08:39:23.971834,1
26,66,18,2023-08-06 08:39:23.971834,3
27,42,36,2023-08-26 08:39:23.971834,1
28,58,3,2023-08-14 08:39:23.971834,1
29,36,21,2023-09-10 08:39:23.971834,3
30,12,46,2023-08-10 08:39:23.971834,1
31,47,16,2023-09-13 08:39:23.971834,3
32,83,37,2023-08-25 08:39:23.971834,1
33,92,42,2023-07-24 08:39:23.971834,4
34,1,5,2023-09-05 08:39:23.971834,4
35,15,50,2023-08-23 08:39:23.971834,1
36,100,14,2023-07-31 08:39:23.971834,4
37,54,31,2023-08-23 08:39:23.971834,4
38,13,46,2023-08-22 08:39:23.971834,4
39,43,24,2023-09-04 08:39:23.971834,3
40,85,35,2023-08-08 08:39:23.971834,4
41,76,36,2023-09-06 08:39:23.971834,2
42,69,10,2023-07-31 08:39:23.971834,3
43,7,27,2023-08-22 08:39:23.971834,2
44,69,27,2023-08-14 08:39:23.971834,4
45,48,23,2023-08-22 08:39:23.971834,4
46,4,13,2023-08-20 08:39:23.971834,2
47,77,16,2023-09-03 08:39:23.971834,1
48,53,35,2023-07-26 08:39:23.971834,4
49,79,27,2023-08-14 08:39:23.971834,3
50,16,39,2023-08-13 08:39:23.971834,2
51,21,47,2023-09-03 08:39:23.971834,2
52,100,17,2023-08-27 08:39:23.971834,4
53,59,48,2023-09-09 08:39:23.971834,2
54,24,41,2023-08-05 08:39:23.971834,2
55,80,1,2023-08-12 08:39:23.971834,3
56,14,11,2023-08-15 08:39:23.971834,1
57,86,12,2023-07-23 08:39:23.971834,1
58,49,14,2023-08-15 08:39:23.971834,2
59,50,8,2023-09-04 08:39:23.971834,1
60,70,31,2023-09-16 08:39:23.971834,2
61,42,7,2023-08-18 08:39:23.971834,1
62,36,46,2023-07-22 08:39:23.971834,1
63,65,31,2023-07-25 08:39:23.971834,3
64,96,16,2023-09-15 08:39:23.971834,2
65,70,42,2023-07-27 08:39:23.971834,3
66,95,39,2023-08-04 08:39:23.971834,4
67,1,44,2023-08-03 08:39:23.971834,1
68,51,19,2023-08-24 08:39:23.971834,4
69,37,8,2023-09-10 08:39:23.971834,2
70,35,29,2023-08-28 08:39:23.971834,2
71,49,2,2023-09-12 08:39:23.971834,2
72,94,42,2023-07-27 08:39:23.971834,4
73,4,3,2023-09-09 08:39:23.971834,4
74,99,29,2023-08-27 08:39:23.971834,2
75,43,15,2023-09-15 08:39:23.971834,2
76,78,38,2023-09-09 08:39:23.971834,4
77,22,28,2023-08-18 08:39:23.971834,2
78,74,37,2023-09-13 08:39:23.971834,1
79,1,32,2023-09-07 08:39:23.971834,2
80,11,30,2023-07-31 08:39:23.971834,1
81,44,47,2023-07-23 08:39:23.971834,3
82,59,30,2023-08-02 08:39:23.971834,4
83,24,34,2023-09-16 08:39:23.971834,1
84,60,13,2023-09-13 08:39:23.971834,4
85,3,33,2023-08-13 08:39:23.971834,4
86,99,42,2023-09-17 08:39:23.971834,3
87,63,17,2023-09-14 08:39:23.971834,2
88,36,3,2023-07-24 08:39:23.971834,1
89,95,9,2023-09-11 08:39:23.971834,1
90,68,11,2023-09-09 08:39:23.971834,1
91,83,49,2023-08-11 08:39:23.971834,3
92,47,27,2023-09-15 08:39:23.971834,2
93,100,28,2023-08-18 08:39:23.971834,4
94,21,2,2023-08-27 08:39:23.971834,4
95,82,1,2023-07-31 08:39:23.971834,1
96,51,6,2023-08-03 08:39:23.971834,4
97,28,25,2023-08-07 08:39:23.971834,3
98,15,35,2023-08-14 08:39:23.971834,1
99,42,16,2023-09-02 08:39:23.971834,1
100,59,4,2023-07-23 08:39:23.971834,1
101,66,47,2023-08-26 08:39:23.971834,1
102,37,38,2023-07-27 08:39:23.971834,3
103,11,44,2023-08-18 08:39:23.971834,4
104,87,20,2023-08-03 08:39:23.971834,2
105,44,25,2023-07-31 08:39:23.971834,2
106,12,7,2023-07-29 08:39:23.971834,1
107,3,21,2023-07-31 08:39:23.971834,3
108,52,7,2023-08-05 08:39:23.971834,2
109,81,29,2023-09-17 08:39:23.971834,2
110,33,7,2023-08-28 08:39:23.971834,4
111,55,3,2023-09-17 08:39:23.971834,1
112,1,29,2023-07-21 08:39:23.971834,4
113,39,29,2023-08-07 08:39:23.971834,4
114,20,39,2023-09-11 08:39:23.971834,1
115,47,38,2023-08-17 08:39:23.971834,3
116,43,6,2023-07-20 08:39:23.971834,4
117,57,46,2023-08-10 08:39:23.971834,2
118,61,10,2023-08-13 08:39:23.971834,1
119,78,37,2023-07-29 08:39:23.971834,3
120,31,14,2023-07-28 08:39:23.971834,3
121,25,22,2023-08-07 08:39:23.971834,3
122,3,32,2023-07-31 08:39:23.971834,2
123,4,18,2023-08-17 08:39:23.971834,4
124,95,36,2023-09-11 08:39:23.971834,4
125,99,46,2023-09-09 08:39:23.971834,2
126,14,9,2023-08-06 08:39:23.971834,2
127,41,26,2023-09-13 08:39:23.971834,3
128,73,22,2023-08-04 08:39:23.971834,3
129,20,46,2023-07-23 08:39:23.971834,4
130,96,38,2023-08-31 08:39:23.971834,1
131,73,23,2023-08-13 08:39:23.971834,4
132,27,17,2023-08-10 08:39:23.971834,4
133,67,26,2023-08-17 08:39:23.971834,4
134,53,47,2023-09-16 08:39:23.971834,4
135,68,38,2023-08-10 08:39:23.971834,1
136,62,2,2023-08-03 08:39:23.971834,2
137,15,6,2023-09-05 08:39:23.971834,4
138,97,7,2023-07-21 08:39:23.971834,2
139,5,13,2023-08-01 08:39:23.971834,1
140,68,27,2023-07-31 08:39:23.971834,2
141,12,11,2023-08-14 08:39:23.971834,1
142,87,15,2023-08-28 08:39:23.971834,1
143,78,9,2023-07-31 08:39:23.971834,4
144,76,8,2023-08-15 08:39:23.971834,1
145,57,46,2023-09-03 08:39:23.971834,3
146,17,6,2023-08-23 08:39:23.971834,2
147,25,48,2023-07-21 08:39:23.971834,4
148,30,43,2023-08-05 08:39:23.971834,3
149,22,4,2023-07-21 08:39:23.971834,2
150,26,11,2023-08-05 08:39:23.971834,3
151,81,28,2023-08-22 08:39:23.971834,4
152,61,26,2023-08-22 08:39:23.971834,2
153,62,4,2023-09-02 08:39:23.971834,2
154,84,15,2023-08-27 08:39:23.971834,1
155,34,19,2023-08-29 08:39:23.971834,3
156,33,6,2023-07-28 08:39:23.971834,3
157,71,5,2023-08-02 08:39:23.971834,2
158,86,18,2023-08-31 08:39:23.971834,3
159,32,6,2023-08-08 08:39:23.971834,2
160,14,31,2023-09-08 08:39:23.971834,2
161,72,25,2023-08-21 08:39:23.971834,1
162,57,4,2023-08-12 08:39:23.971834,2
163,25,6,2023-07-24 08:39:23.971834,3
164,80,41,2023-08-20 08:39:23.971834,4
165,42,37,2023-08-11 08:39:23.971834,1
166,19,50,2023-07-20 08:39:23.971834,4
167,41,25,2023-08-26 08:39:23.971834,2
168,55,34,2023-08-20 08:39:23.971834,1
169,80,19,2023-08-04 08:39:23.971834,1
170,12,34,2023-08-08 08:39:23.971834,2
171,39,15,2023-08-04 08:39:23.971834,3
172,94,50,2023-09-09 08:39:23.971834,2
173,2,8,2023-09-15 08:39:23.971834,2
174,96,44,2023-08-01 08:39:23.971834,2
175,45,47,2023-09-03 08:39:23.971834,2
176,89,49,2023-07-30 08:39:23.971834,2
177,25,34,2023-09-10 08:39:23.971834,3
178,68,18,2023-08-30 08:39:23.971834,1
179,83,30,2023-08-05 08:39:23.971834,3
180,4,13,2023-07-26 08:39:23.971834,2
181,77,47,2023-08-10 08:39:23.971834,1
182,36,33,2023-08-19 08:39:23.971834,1
183,87,35,2023-07-23 08:39:23.971834,1
184,62,24,2023-08-05 08:39:23.971834,4
185,70,26,2023-07-20 08:39:23.971834,3
186,88,47,2023-07-21 08:39:23.971834,3
187,44,44,2023-09-08 08:39:23.971834,3
188,33,42,2023-08-21 08:39:23.971834,2
189,12,47,2023-09-01 08:39:23.971834,3
190,85,1,2023-09-17 08:39:23.971834,4
191,11,13,2023-08-07 08:39:23.971834,4
192,55,10,2023-08-07 08:39:23.971834,3
193,38,19,2023-09-15 08:39:23.971834,4
194,29,5,2023-08-11 08:39:23.971834,3
195,3,8,2023-08-04 08:39:23.971834,4
196,28,4,2023-08-04 08:39:23.971834,1
197,84,49,2023-08-17 08:39:23.971834,1
198,90,13,2023-07-27 08:39:23.971834,2
199,24,38,2023-08-16 08:39:23.971834,1
200,54,46,2023-08-13 08:39:23.971834,2
201,52,49,2023-09-15 08:39:23.971834,1
202,47,46,2023-09-16 08:39:23.971834,4
203,21,19,2023-08-13 08:39:23.971834,2
204,54,50,2023-08-01 08:39:23.971834,4
205,30,8,2023-08-02 08:39:23.971834,4
206,68,27,2023-08-07 08:39:23.971834,2
207,36,50,2023-08-03 08:39:23.971834,1
208,40,47,2023-08-03 08:39:23.971834,1
209,10,30,2023-08-09 08:39:23.971834,4
210,74,4,2023-07-27 08:39:23.971834,3
211,42,11,2023-09-13 08:39:23.971834,3
212,24,21,2023-09-02 08:39:23.971834,2
213,4,43,2023-09-01 08:39:23.971834,4
214,47,2,2023-09-11 08:39:23.971834,2
215,91,21,2023-08-16 08:39:23.971834,2
216,51,17,2023-09-02 08:39:23.971834,1
217,4,43,2023-08-04 08:39:23.971834,1
218,32,29,2023-08-12 08:39:23.971834,4
219,10,27,2023-07-31 08:39:23.971834,3
220,11,24,2023-08-02 08:39:23.971834,1
221,28,49,2023-08-18 08:39:23.971834,2
222,46,3,2023-08-20 08:39:23.971834,3
223,72,39,2023-09-04 08:39:23.971834,1
224,40,10,2023-08-07 08:39:23.971834,2
225,62,3,2023-07-24 08:39:23.971834,1
226,86,45,2023-08-17 08:39:23.971834,1
227,98,42,2023-07-21 08:39:23.971834,1
228,45,26,2023-09-07 08:39:23.971834,2
229,35,37,2023-09-07 08:39:23.971834,2
230,35,27,2023-08-12 08:39:23.971834,1
231,89,5,2023-09-15 08:39:23.971834,2
232,34,42,2023-08-05 08:39:23.971834,1
233,6,11,2023-08-30 08:39:23.971834,4
234,37,13,2023-08-15 08:39:23.971834,3
235,1,41,2023-09-06 08:39:23.971834,2
236,76,34,2023-07-22 08:39:23.971834,1
237,35,38,2023-09-05 08:39:23.971834,1
238,70,40,2023-08-06 08:39:23.971834,4
239,54,33,2023-08-09 08:39:23.971834,1
240,81,34,2023-08-27 08:39:23.971834,3
241,63,27,2023-07-20 08:39:23.971834,2
242,9,36,2023-07-26 08:39:23.971834,4
243,62,26,2023-09-02 08:39:23.971834,1
244,2,25,2023-08-11 08:39:23.971834,1
245,82,19,2023-08-04 08:39:23.971834,1
246,36,21,2023-07-30 08:39:23.971834,4
247,92,31,2023-08-23 08:39:23.971834,2
248,41,29,2023-08-29 08:39:23.971834,3
249,37,9,2023-08-27 08:39:23.971834,3
250,49,19,2023-09-12 08:39:23.971834,1
251,26,26,2023-08-10 08:39:23.971834,1
252,68,25,2023-08-23 08:39:23.971834,2
253,36,40,2023-09-11 08:39:23.971834,1
254,31,43,2023-08-21 08:39:23.971834,3
255,30,29,2023-08-31 08:39:23.971834,2
256,34,25,2023-09-02 08:39:23.971834,4
257,19,19,2023-08-24 08:39:23.971834,4
258,18,4,2023-08-30 08:39:23.971834,2
259,94,45,2023-09-15 08:39:23.971834,1
260,85,20,2023-08-28 08:39:23.971834,3
261,3,46,2023-08-16 08:39:23.971834,2
262,70,1,2023-09-17 08:39:23.971834,2
263,13,11,2023-09-06 08:39:23.971834,1
264,45,4,2023-07-30 08:39:23.971834,3
265,67,7,2023-07-24 08:39:23.971834,3
266,92,28,2023-08-06 08:39:23.971834,4
267,86,36,2023-07-23 08:39:23.971834,4
268,40,7,2023-08-26 08:39:23.971834,2
269,40,20,2023-08-19 08:39:23.971834,3
270,76,35,2023-08-12 08:39:23.971834,1
271,23,39,2023-08-18 08:39:23.971834,1
272,31,21,2023-08-27 08:39:23.971834,2
273,18,44,2023-09-17 08:39:23.971834,2
274,71,1,2023-08-19 08:39:23.971834,3
275,72,37,2023-07-31 08:39:23.971834,1
276,19,46,2023-07-22 08:39:23.971834,4
277,93,42,2023-08-18 08:39:23.971834,4
278,44,3,2023-07-27 08:39:23.971834,4
279,84,34,2023-09-09 08:39:23.971834,3
280,50,13,2023-09-10 08:39:23.971834,3
281,42,16,2023-07-29 08:39:23.971834,2
282,94,34,2023-08-12 08:39:23.971834,1
283,47,24,2023-07-20 08:39:23.971834,4
284,22,13,2023-09-06 08:39:23.971834,1
285,74,6,2023-08-06 08:39:23.971834,3
286,90,39,2023-08-29 08:39:23.971834,1
287,97,2,2023-09-09 08:39:23.971834,4
288,92,11,2023-08-10 08:39:23.971834,1
289,74,7,2023-08-19 08:39:23.971834,4
290,29,7,2023-08-15 08:39:23.971834,3
291,82,39,2023-08-04 08:39:23.971834,2
292,59,39,2023-09-06 08:39:23.971834,4
293,1,12,2023-08-06 08:39:23.971834,2
294,87,22,2023-07-30 08:39:23.971834,4
295,64,3,2023-08-06 08:39:23.971834,2
296,17,13,2023-07-23 08:39:23.971834,3
297,37,30,2023-08-28 08:39:23.971834,1
298,95,10,2023-07-29 08:39:23.971834,4
299,25,9,2023-08-18 08:39:23.971834,4
300,64,6,2023-07-23 08:39:23.971834,4
301,68,44,2023-07-27 08:39:23.971834,3
302,52,2,2023-08-05 08:39:23.971834,4
303,9,44,2023-08-23 08:39:23.971834,3
304,57,16,2023-07-24 08:39:23.971834,2
305,92,13,2023-08-15 08:39:23.971834,1
306,94,48,2023-08-25 08:39:23.971834,2
307,88,13,2023-07-26 08:39:23.971834,1
308,33,22,2023-08-21 08:39:23.971834,1
309,20,19,2023-08-06 08:39:23.971834,2
310,73,26,2023-09-13 08:39:23.971834,4
311,72,14,2023-09-12 08:39:23.971834,4
312,88,31,2023-09-11 08:39:23.971834,2
313,14,29,2023-08-26 08:39:23.971834,3
314,59,45,2023-09-13 08:39:23.971834,1
315,82,42,2023-08-16 08:39:23.971834,1
316,56,22,2023-09-09 08:39:23.971834,1
317,65,7,2023-08-03 08:39:23.971834,1
318,76,37,2023-09-17 08:39:23.971834,1
319,93,49,2023-08-11 08:39:23.971834,4
320,37,41,2023-08-20 08:39:23.971834,3
321,26,27,2023-07-28 08:39:23.971834,1
322,33,31,2023-09-14 08:39:23.971834,3
323,43,6,2023-08-18 08:39:23.971834,2
324,15,16,2023-08-17 08:39:23.971834,3
325,87,38,2023-08-20 08:39:23.971834,4
326,29,38,2023-08-23 08:39:23.971834,3
327,21,50,2023-09-16 08:39:23.971834,3
328,83,32,2023-08-06 08:39:23.971834,2
329,69,33,2023-08-17 08:39:23.971834,1
330,23,49,2023-09-05 08:39:23.971834,3
331,100,17,2023-08-05 08:39:23.971834,4
332,84,33,2023-07-28 08:39:23.971834,2
333,8,11,2023-09-17 08:39:23.971834,3
334,73,13,2023-09-13 08:39:23.971834,3
335,62,30,2023-09-02 08:39:23.971834,2
336,14,1,2023-07-27 08:39:23.971834,4
337,6,30,2023-08-01 08:39:23.971834,4
338,1,27,2023-08-21 08:39:23.971834,4
339,9,40,2023-08-09 08:39:23.971834,3
340,80,23,2023-09-01 08:39:23.971834,3
341,80,20,2023-07-31 08:39:23.971834,4
342,54,6,2023-08-18 08:39:23.971834,1
343,12,37,2023-08-29 08:39:23.971834,4
344,5,20,2023-07-20 08:39:23.971834,2
345,40,37,2023-08-09 08:39:23.971834,3
346,93,6,2023-09-03 08:39:23.971834,2
347,46,29,2023-08-17 08:39:23.971834,2
348,27,13,2023-08-02 08:39:23.971834,1
349,75,27,2023-08-26 08:39:23.971834,1
350,53,50,2023-09-05 08:39:23.971834,4
351,50,20,2023-08-28 08:39:23.971834,1
352,92,13,2023-09-08 08:39:23.971834,3
353,52,39,2023-07-24 08:39:23.971834,3
354,100,8,2023-09-04 08:39:23.971834,3
355,19,17,2023-08-01 08:39:23.971834,3
356,35,30,2023-09-15 08:39:23.971834,3
357,52,1,2023-09-13 08:39:23.971834,4
358,31,24,2023-08-26 08:39:23.971834,3
359,54,16,2023-09-06 08:39:23.971834,4
360,59,11,2023-07-24 08:39:23.971834,2
361,44,4,2023-08-30 08:39:23.971834,2
362,56,4,2023-08-25 08:39:23.971834,1
363,19,17,2023-08-05 08:39:23.971834,3
364,46,49,2023-08-07 08:39:23.971834,2
365,88,10,2023-08-26 08:39:23.971834,4
366,66,21,2023-08-19 08:39:23.971834,4
367,71,38,2023-09-11 08:39:23.971834,4
368,54,49,2023-09-04 08:39:23.971834,1
369,49,18,2023-08-24 08:39:23.971834,4
370,95,10,2023-09-06 08:39:23.971834,1
371,60,45,2023-07-20 08:39:23.971834,4
372,81,16,2023-09-07 08:39:23.971834,1
373,27,39,2023-09-15 08:39:23.971834,1
374,36,15,2023-07-29 08:39:23.971834,2
375,59,34,2023-09-08 08:39:23.971834,2
376,50,5,2023-08-22 08:39:23.971834,4
377,74,17,2023-09-06 08:39:23.971834,2
378,45,37,2023-09-07 08:39:23.971834,1
379,14,8,2023-08-01 08:39:23.971834,1
380,71,24,2023-07-26 08:39:23.971834,3
381,39,28,2023-09-09 08:39:23.971834,3
382,40,47,2023-08-25 08:39:23.971834,1
383,9,8,2023-08-24 08:39:23.971834,2
384,14,23,2023-08-27 08:39:23.971834,1
385,8,35,2023-08-25 08:39:23.971834,4
386,81,31,2023-08-19 08:39:23.971834,3
387,23,17,2023-09-08 08:39:23.971834,3
388,80,28,2023-08-08 08:39:23.971834,2
389,90,48,2023-08-27 08:39:23.971834,1
390,9,48,2023-09-02 08:39:23.971834,3
391,100,12,2023-08-24 08:39:23.971834,2
392,7,24,2023-08-03 08:39:23.971834,3
393,82,15,2023-08-18 08:39:23.971834,2
394,72,40,2023-09-09 08:39:23.971834,3
395,85,31,2023-09-14 08:39:23.971834,4
396,90,27,2023-08-06 08:39:23.971834,3
397,67,35,2023-07-23 08:39:23.971834,1
398,61,18,2023-08-18 08:39:23.971834,2
399,17,36,2023-08-16 08:39:23.971834,2
400,57,8,2023-07-23 08:39:23.971834,3
401,24,46,2023-08-22 08:39:23.971834,1
402,25,49,2023-09-11 08:39:23.971834,3
403,5,38,2023-09-09 08:39:23.971834,3
404,50,5,2023-09-12 08:39:23.971834,3
405,88,14,2023-08-16 08:39:23.971834,4
406,31,38,2023-08-25 08:39:23.971834,2
407,55,20,2023-09-14 08:39:23.971834,1
408,26,44,2023-08-10 08:39:23.971834,4
409,21,9,2023-08-28 08:39:23.971834,4
410,98,33,2023-08-31 08:39:23.971834,3
411,58,18,2023-07-30 08:39:23.971834,3
412,24,6,2023-08-18 08:39:23.971834,3
413,28,37,2023-09-07 08:39:23.971834,2
414,30,2,2023-08-18 08:39:23.971834,3
415,34,30,2023-09-16 08:39:23.971834,4
416,54,6,2023-08-13 08:39:23.971834,2
417,52,17,2023-09-08 08:39:23.971834,4
418,87,39,2023-08-05 08:39:23.971834,2
419,8,41,2023-07-20 08:39:23.971834,2
420,10,23,2023-08-25 08:39:23.971834,2
421,55,31,2023-08-23 08:39:23.971834,4
422,1,20,2023-09-17 08:39:23.971834,2
423,84,5,2023-08-02 08:39:23.971834,4
424,37,21,2023-07-21 08:39:23.971834,1
425,82,43,2023-09-17 08:39:23.971834,4
426,21,11,2023-07-22 08:39:23.971834,4
427,4,4,2023-07-22 08:39:23.971834,2
428,43,23,2023-08-08 08:39:23.971834,2
429,66,38,2023-09-10 08:39:23.971834,3
430,21,30,2023-09-16 08:39:23.971834,1
431,37,42,2023-08-01 08:39:23.971834,1
432,69,41,2023-08-19 08:39:23.971834,3
433,81,18,2023-08-28 08:39:23.971834,4
434,48,41,2023-08-10 08:39:23.971834,4
435,11,43,2023-08-02 08:39:23.971834,2
436,95,31,2023-09-07 08:39:23.971834,1
437,92,30,2023-08-15 08:39:23.971834,2
438,44,34,2023-09-09 08:39:23.971834,3
439,64,31,2023-08-01 08:39:23.971834,1
440,32,47,2023-09-07 08:39:23.971834,2
441,21,38,2023-07-20 08:39:23.971834,1
442,71,25,2023-07-21 08:39:23.971834,1
443,10,17,2023-08-25 08:39:23.971834,2
444,61,36,2023-07-30 08:39:23.971834,2
445,92,40,2023-08-31 08:39:23.971834,1
446,36,30,2023-08-21 08:39:23.971834,3
447,84,2,2023-08-17 08:39:23.971834,4
448,77,24,2023-09-16 08:39:23.971834,1
449,19,9,2023-07-22 08:39:23.971834,3
450,75,1,2023-08-17 08:39:23.971834,1
451,99,24,2023-07-21 08:39:23.971834,2
452,98,38,2023-08-02 08:39:23.971834,3
453,44,48,2023-08-08 08:39:23.971834,3
454,4,27,2023-09-05 08:39:23.971834,1
455,13,26,2023-08-06 08:39:23.971834,4
456,59,26,2023-08-25 08:39:23.971834,1
457,2,7,2023-07-27 08:39:23.971834,4
458,1,25,2023-09-11 08:39:23.971834,3
459,40,16,2023-07-26 08:39:23.971834,4
460,25,38,2023-07-29 08:39:23.971834,2
461,59,42,2023-08-04 08:39:23.971834,4
462,37,18,2023-08-07 08:39:23.971834,4
463,100,17,2023-08-18 08:39:23.971834,3
464,70,49,2023-09-11 08:39:23.971834,4
465,7,44,2023-08-31 08:39:23.971834,3
466,4,47,2023-08-07 08:39:23.971834,2
467,99,6,2023-07-22 08:39:23.971834,2
468,41,20,2023-08-18 08:39:23.971834,1
469,61,48,2023-08-06 08:39:23.971834,1
470,34,23,2023-08-24 08:39:23.971834,1
471,29,46,2023-09-14 08:39:23.971834,2
472,69,12,2023-08-08 08:39:23.971834,4
473,27,12,2023-08-05 08:39:23.971834,3
474,97,34,2023-08-12 08:39:23.971834,2
475,52,8,2023-08-01 08:39:23.971834,4
476,74,27,2023-08-24 08:39:23.971834,1
477,54,49,2023-09-03 08:39:23.971834,3
478,70,8,2023-09-14 08:39:23.971834,1
479,34,48,2023-07-22 08:39:23.971834,3
480,8,33,2023-08-09 08:39:23.971834,4
481,95,37,2023-07-23 08:39:23.971834,2
482,73,19,2023-08-06 08:39:23.971834,1
483,85,24,2023-09-02 08:39:23.971834,2
484,8,22,2023-08-27 08:39:23.971834,4
485,68,3,2023-08-31 08:39:23.971834,4
486,86,9,2023-07-30 08:39:23.971834,4
487,92,11,2023-08-26 08:39:23.971834,2
488,68,6,2023-08-31 08:39:23.971834,2
489,85,39,2023-08-29 08:39:23.971834,3
490,72,39,2023-09-05 08:39:23.971834,2
491,84,37,2023-08-16 08:39:23.971834,2
492,96,2,2023-07-24 08:39:23.971834,4
493,1,37,2023-09-09 08:39:23.971834,3
494,6,6,2023-08-11 08:39:23.971834,2
495,92,6,2023-08-26 08:39:23.971834,2
496,31,39,2023-08-24 08:39:23.971834,4
497,74,36,2023-08-19 08:39:23.971834,2
498,84,25,2023-07-27 08:39:23.971834,4
499,8,50,2023-08-13 08:39:23.971834,3
500,22,16,2023-08-13 08:39:23.971834,4
